UNIT_NAME,UNIT_TYPE,PARKNAME
Walnut Canyon National Monument,National Monument,Walnut Canyon
Appomattox Court House National Historical Park,National Historical Park,Appomattox Court House
Pipestone National Monument,National Monument,Pipestone
World War II Valor in the Pacific National Monument,National Monument,World War II Valor in the Pacific
Biscayne National Park,National Park,Biscayne
Minute Man National Historical Park,National Historical Park,Minute Man
Arkansas Post National Memorial,National Memorial,Arkansas Post
Mount Rushmore National Memorial,National Memorial,Mount Rushmore
Guadalupe Mountains National Park,National Park,Guadalupe Mountains
City of Rocks National Reserve,National Reserve,City of Rocks
Hagerman Fossil Beds National Monument,National Monument,Hagerman Fossil Beds
John Muir National Historic Site,National Historic Site,John Muir
Petersburg National Battlefield,National Battlefield,Petersburg
President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,President William Jefferson Clinton Birthplace Home
Fort Vancouver National Historic Site,National Historic Site,Fort Vancouver
Saint-Gaudens National Historic Site,National Historic Site,Saint-Gaudens
John Fitzgerald Kennedy National Historic Site,National Historic Site,John F Kennedy
Jefferson National Expansion Memorial,National Memorial,Jefferson
Fort Pulaski National Monument,National Monument,Fort Pulaski
Eleanor Roosevelt National Historic Site,National Historic Site,Eleanor Roosevelt
Friendship Hill National Historic Site,National Historic Site,Friendship Hill
Theodore Roosevelt Birthplace National Historic Site,National Historic Site,Theodore Roosevelt Birthplace
Coronado National Memorial,National Memorial,Coronado
Wright Brothers National Memorial,National Memorial,Wright Brothers
Selma to Montgomery National Historic Trail,National Historic Trail,Selma to Montgomery
Kings Mountain National Military Park,National Military Park,Kings Mountain
Golden Spike National Historic Site,National Historic Site,Golden Spike
New Bedford Whaling National Historical Park,National Historical Park,New Bedford Whaling
Sagamore Hill National Historic Site,National Historic Site,Sagamore Hill
Lava Beds National Monument,National Monument,Lava Beds
Women's Rights National Historical Park,National Historical Park,Women's Rights
George Rogers Clark National Historical Park,National Historical Park,George Rogers Clark
Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,Longfellow
Hopewell Furnace National Historic Site,National Historic Site,Hopewell Furnace
Franklin Delano Roosevelt Memorial,National Memorial,Franklin Delano Roosevelt
Montezuma Castle National Monument,National Monument,Montezuma Castle
Kings Canyon National Park,National Park,Kings Canyon
Springfield Armory National Historic Site,National Historic Site,Springfield Armory
Whitman Mission National Historic Site,National Historic Site,Whitman Mission
World War II Memorial,National Memorial,World War II Memorial
Vietnam Veterans Memorial,National Memorial,Vietnam Veterans
Korean War Veterans Memorial,National Memorial,Korean War Veterans
Constitution Gardens,Other Designation,Constitution Gardens
"Martin Luther King, Jr., Memorial",Other Designation,Martin Luther King Jr
Lincoln Memorial,National Memorial,Lincoln
National Mall,Other Designation,National Mall
Russell Cave National Monument,National Monument,Russell Cave
